hname,shcode,expcode,etfchk,filler,gubun
동화약품,000020,KR7000020008,0,,1
KR모터스,000040,KR7000040006,0,,1
경방,000050,KR7000050005,0,,1
삼양홀딩스,000070,KR7000070003,0,,1
삼양홀딩스우,000075,KR7000071001,0,,1
하이트진로,000080,KR7000080002,0,,1
하이트진로2우B,000087,KR7000082008,0,,1
유한양행,000100,KR7000100008,0,,1
유한양행우,000105,KR7000101006,0,,1
CJ대한통운,000120,KR7000120006,0,,1
하이트진로홀딩스,000140,KR7000140004,0,,1
하이트진로홀딩스우,000145,KR7000141002,0,,1
두산,000150,KR7000150003,0,,1
두산우,000155,KR7000151001,0,,1
두산2우B,000157,KR7000152009,0,,1
성창기업지주,000180,KR7000180000,0,,1
DL,000210,KR7000210005,0,,1
DL우,000215,KR7000211003,0,,1
유유제약,000220,KR7000220004,0,,1
유유제약1우,000225,KR7000221002,0,,1
유유제약2우B,000227,KR7000222000,0,,1
일동홀딩스,000230,KR7000230003,0,,1
한국앤컴퍼니,000240,KR7000240002,0,,1
기아,000270,KR7000270009,0,,1
대유플러스,000300,KR7000300004,0,,1
노루홀딩스,000320,KR7000320002,0,,1
노루홀딩스우,000325,KR7000321000,0,,1
한화손해보험,000370,KR7000370007,0,,1
삼화페인트,000390,KR7000390005,0,,1
롯데손해보험,000400,KR7000400002,0,,1
대원강업,000430,KR7000430009,0,,1
CR홀딩스,000480,KR7000480004,0,,1
대동,000490,KR7000490003,0,,1
가온전선,000500,KR7000500009,0,,1
삼일제약,000520,KR7000520007,0,,1
흥국화재,000540,KR7000540005,0,,1
흥국화재우,000545,KR7000541003,0,,1
CS홀딩스,000590,KR7000590000,0,,1
동아쏘시오홀딩스,000640,KR7000640003,0,,1
천일고속,000650,KR7000650002,0,,1
SK하이닉스,000660,KR7000660001,0,,1
영풍,000670,KR7000670000,0,,1
LS네트웍스,000680,KR7000680009,0,,1
유수홀딩스,000700,KR7000700005,0,,1
현대건설,000720,KR7000720003,0,,1
현대건설우,000725,KR7000721001,0,,1
이화산업,000760,KR7000760009,0,,1
삼성화재,000810,KR7000810002,0,,1
삼성화재우,000815,KR7000811000,0,,1
화천기공,000850,KR7000850008,0,,1
강남제비스코,000860,KR7000860007,0,,1
한화,000880,KR7000880005,0,,1
한화우,000885,KR7000881003,0,,1
한화3우B,00088K,KR700088K015,0,,1
보해양조,000890,KR7000890004,0,,1
유니온,000910,KR7000910000,0,,1
전방,000950,KR7000950006,0,,1
한국주철관,000970,KR7000970004,0,,1
DB하이텍,000990,KR7000990002,0,,1
페이퍼코리아,001020,KR7001020007,0,,1
CJ,001040,KR7001040005,0,,1
CJ우,001045,KR7001041003,0,,1
CJ4우(전환),00104K,KR700104K010,0,,1
JW중외제약,001060,KR7001060003,0,,1
JW중외제약우,001065,KR7001061001,0,,1
JW중외제약2우B,001067,KR7001062009,0,,1
대한방직,001070,KR7001070002,0,,1
만호제강,001080,KR7001080001,0,,1
LX인터내셔널,001120,KR7001120005,0,,1
대한제분,001130,KR7001130004,0,,1
국보,001140,KR7001140003,0,,1
유진투자증권,001200,KR7001200005,0,,1
금호전기,001210,KR7001210004,0,,1
동국홀딩스,001230,KR7001230002,0,,1
GS글로벌,001250,KR7001250000,0,,1
남광토건,001260,KR7001260009,0,,1
부국증권,001270,KR7001270008,0,,1
부국증권우,001275,KR7001271006,0,,1
상상인증권,001290,KR7001290006,0,,1
백광산업,001340,KR7001340009,0,,1
삼성제약,001360,KR7001360007,0,,1
SG글로벌,001380,KR7001380005,0,,1
KG케미칼,001390,KR7001390004,0,,1
태원물산,001420,KR7001420009,0,,1
세아베스틸지주,001430,KR7001430008,0,,1
대한전선,001440,KR7001440007,0,,1
현대해상,001450,KR7001450006,0,,1
BYC,001460,KR7001460005,0,,1
BYC우,001465,KR7001461003,0,,1
삼부토건,001470,KR7001470004,0,,1
현대차증권,001500,KR7001500008,0,,1
SK증권,001510,KR7001510007,0,,1
SK증권우,001515,KR7001511005,0,,1
동양,001520,KR7001520006,0,,1
